smiles,logSolubility
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.389082329759499
CC1(N)CN(C2=C(Cl)C3=C(C=C2F)C(=O)C(C(=O)O)=CN3C2CC2)C1,-4.694326361390975
CC(=O)OC1=CC=C(C=C1)C2=CC=CC=C2,-4.345654898547073
C.[Mo].[Mo],-4.880507549479769
CCOC(=O)c1ccc(cc1)N=CN(C)c2ccccc2,-4.681850737389498
OCCC#N,1.1344278415374247
O=Cc1ccccc1,-1.453441508111269
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,-4.061631569463397
O=C(OCC)CC(=O)OCC,-0.652569741774478
Clc1ccc(NC(=O)CBr)c(c1)C(=O)c2ccccc2Cl,-6.3820774976299335
CC1(C)C2CCC3(C2)C1C(=O)CCC3(C)C,-4.210133646821171
[Na+].[Na+].Nc1ccc2C(=O)C(=N/Nc3ccc4C(=O)C(=N/Nc5ccccc5)\C(=Cc4c3)[S]([O-])(=O)=O)/C(=Cc2c1)[S]([O-])(=O)=O,-1.258989816177378
COc1ccc(OC)c(C=O)c1,-1.809218461228501
O=C(C1CCCC1)N(O)C1CCCCC1,-3.042514987937994
CC(O)C(C)Cc1ccccc1,-1.8655571969801823
CCO[P](=O)(OCC)N=C1SCCS1,-1.867107679920109
CNC(=O)Oc1cc(C)c(N(CC=C)CC=C)c(C)c1,-3.2860897731797474
CCCCO[P](=O)(CCCC)OCCCC,-2.487849909922927
Cc1ccccc1N,-0.671339664417701
Oc1ccc(Cl)cc1Cc2cc(Cl)ccc2O,-3.1210585325719227
CCN(CC)CCNC(=O)C1=CC(=C(N)C=C1OC)Cl,-2.5959531524207984
NC1=NN=C(C2=CC=C(O)C=C2)O1,-2.5856519242046234
OB(O)O,-0.11884744430620867
CCN(CC)c1ccc(cc1)[C+](c2ccccc2)c3ccc(cc3)N(CC)CC.CC([O-])=O,-2.6362655194685947
COC(=O)C1=C(O)C=CC(CCC2=C(OC)C=CC(OC)=C2)=C1,-4.2114718210329976
CC(CC(C)(C)C)C[P](O)(=O)CC(C)CC(C)(C)C,-3.647435309997025
COC(=O)c1ccccc1C(=O)c2ccccc2,-4.398352875145603
Clc1cccc(c1)c2ccccc2Cl,-5.3685358413575255
OC(=O)CNC[P](O)(O)=O,-0.020995224856428952
O=C1NC(=O)C(Br)=C(CN2CCCC2)N1,-1.8539046055315769
CC(Oc1ccc(Cl)cc1Cl)C(O)=O,-2.61207860540509
Clc1ccc(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-9.382165695304653
OCCCc1ccccc1,-1.0133603330610934
CC(OC(=O)Nc1cccc(Cl)c1)C#C,-3.7416826659767204
Brc1ccc2Nc3ccccc3Sc2c1,-5.771863273076903
CC1CCOC(C1)C=C(C)C,-2.577108055597419
CCCCCC(=O)NCCNC(=O)CCCCC,-2.4464117389643585
CC(C)CC(NC(=O)C(CC1=C[NH]C=N1)NC(=O)C(CC2=CC=CC=C2)NC(=O)OC(C)(C)C)C(O)CC(=O)NC(CC(C)C)C(=O)NCC3=CC=NC=C3,-3.405362985523368
CC1=C(C=O)C(C)(C)CC=C1,-2.297124479496592
OCc1ccc(cc1)[N+]([O-])=O,-1.723316893074729
O=C1CN(CC2N1CCc3ccccc23)C(=O)C4CCCCC4,-3.216277236610554
COC1=CC=C(CN2C=C(F)C(=O)NC2=O)C=C1,-3.091593054995697
c1ccccn1,0.8791599859449566
NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl ,-2.916631446735779
CCCCOC(=O)c1ccc(O)c(I)c1,-3.956941741190928
Cc1ccccc1Cl,-2.768010724569752
COc1cc(N=Nc2c(Br)cc(cc2[N+]([O-])=O)[N+]([O-])=O)c(NC(C)=O)cc1N(CCOC(C)=O)CCOC(C)=O,-6.3826256064822235
CC(C)CCC(C)O,-1.2448162937771787
Cn1c(COC(N)=O)ncc1[N+]([O-])=O,-1.3051841998165776
Cc1ccc(cc1N)C(N)=O,-1.539099892227064
OC(=O)c1cc(Cl)ccc1O,-1.988933385207265
CCCCC(CC)COC(=O)\C=C\C(=O)OCC(CC)CCCC,-6.656220858742654
CC1(C)SC2C(NC(=O)C(N)C3=CC=C(O)C=C3)C(=O)N2C1C(O)=O,-2.374149912489501
O=O,-3.612792163748183
[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(CC)CCCC.CCCCC(CC)CO[P]([S-])(=S)OCC(CC)CCCC,-4.5279182879503175
CN[P](=O)(OC)Oc1ccc(cc1Cl)C(C)(C)C,-3.3480136792749393
Nc1ccccc1Cl,-1.6366462777346755
[Zr],-10.287709321464424
CCCC1CCCC1,-4.356244479803587
CCC=CCCOC(=O)C(C)C1=CC=C2C=C(OC)C=CC2=C1,-6.464654323944856
Brc1ccc(c(Br)c1Br)c2c(Br)c(Br)c(Br)c(Br)c2Br,-8.678984102016162
CCCCCC[P](=O)(OCC)OCC,-1.8820791433620894
N#CCCNC(CC1=CC=CC=C1)C(=O)O,-1.772886986860918
[Ba++].CC([O-])=O.CC([O-])=O,0.13421322577738456
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-7.559392000114909
CC(=O)OCN1C=C(F)C(=O)NC1=O,-1.0449596649555566
CCOC(=O)\C=C(C)\C=C\CC(C)CCCC(C)C,-5.835557427230567
O=NN1CCCC1,0.4648948510608415
CCCCCCOC(=O)C1=CC(I)=C(O)C=C1,-4.833401918137732
CC(C)Nc1nc(Cl)nc(NC2CC2)n1,-3.329133873318854
Clc1ccc(Br)cc1,-3.6809178720729143
Cc1cc(C)nc(N)n1,-0.3408952631592234
CC(C)C1=CCC(=CC1)C,-4.449283842788738
COC(=O)C(CO)NC(=O)C(Cl)Cl,-0.7930733604106879
COc1ccc(OC)c(N)c1,-1.4792407692340734
CCCCCCCCCCCCCCCCCCNC(=O)NCCCNC(=O)NCCCCCCCCCCCCCCCCCC,-6.230647474561577
COC1=CC=C2C=C(C(C)C(=O)OCC(O)CO)C=CC2=C1,-2.9715054071779514
CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC(C)=O,-3.7830689636639994
CC(C)N(Cc1ccccc1)C(=O)C(C)(C)C,-3.5922651960892913
Cc1[nH]c2ccccc2n1,-1.5170780490060753
CCC(CCC(O)=O)C(C)=O,-0.7842566665762989
OC(=O)CNC(=O)C1=CC=CC=C1,-1.13539944354434
O=C(OC)C=C,-0.3505747184878222
CCN(CC)CCCC(C)NC1=CC=NC2=C1C=CC(=C2)Cl,-3.9316347589965566
CC(C)CCCCCCCOC(=O)C=C,-5.079585765486753
O=C(Nc1ccccn1)c2cccnc2,-1.9656180732004267
OC(=O)c1cccc(Cl)c1,-2.387201466363771
CN1C=C(C(=O)NC1=O)[N+]([O-])=O,-1.8045917300324064
C/C=C/C=O,0.22516624337390154
O=C1NC2=C(N1)C=NC(=O)N2,-2.5633875733764784
NC1=NC(=O)N(C2=CC=CC=C2)N1,-2.700624263900646
CC(=O)NC1=CC=C(C=C1)[S](=O)(=O)NC(C)=O,-2.0202574212483695
O=C1NC(=O)N(CC2=CC=C(Cl)C=C2)C=C1F,-3.1011008429289353
ClC1=CC=CC(=C1)OC2=CC=C(Cl)C(=C2Cl)Cl,-6.786470174740025
OCCCCCCCl,-1.106931108207616
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccccc3,-3.262565205809982
O=C(Nc1ncccn1)c2cnccn2,-1.489098706878872
CNNC,0.9219350333570805
