smiles,logSolubility
CCCCCCOC(=O)c1ccc(N)cc1,-3.95
CCCC(O)C(CC)CO,-0.5418
[Na+].[O-][S](=O)(=O)c1ccc(N\N=C2\C(=O)C=Cc3ccccc23)c4ccccc14,-2.426393048
ClC1=C(Cl)C(Cl)=C(Cl)C(OC2=C(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)=C1,-10.55
CC1(C)OC2(C)CCC1CC2=O,-0.9249
CC1=CC=C[NH++]([O-])[CH-]1,0.9621
Fc1ccccc1C(=O)c2cc(Cl)ccc2NC(=O)CBr,-5.569345786
CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2,-2.593688492
[Na+].CCCCCCCCCCCC(=O)N[C@@H](CCC(O)=O)C([O-])=O,-3.60911048
CCCCC(=O)OCSC1=NC=NC2=C1N=C[NH]2,-3.1
OC[C@H](O)[C@@H](O)C(O)[C@H](O)[C@H](O)CO,-0.517
O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)C(O)=O,-0.9473
CCOCCOC(=O)CCCCC(=O)OCCOCC,-2.065
COC1=C(N[S](=O)(=O)C2=CC=C(N)C=C2)C=CC=C1Cl,-4.15
O=C(O)CNC(CC1=CC=CC=C1)C(=O)O,-2.16
OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1O,-3.55
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.575436704
OC(=O)c1ccc(C(O)=O)c(Br)c1,-2.1339
ClC1=CC=C(C2=CC(=C(Cl)C(=C2)Cl)Cl)C(=C1Cl)Cl,-9.1
CSc1cc(SC)c(N)c(C)c1N,-2.856925458
O[C@H]1CCN2C(=O)c3ccccc3N=C12,-2.106
CC(C)O[P](C)(=O)OC(C)C,-0.0516
COC1=CCC2=C(CCC3C2CCC4(C)C3CCC4=O)C1,-4.979874504
Clc1cccc(Oc2ccccc2)c1,-4.2107
CCOc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C,-2.079
CC(C)(C)NC(=O)C1N(CSC1(C)C)C(=O)C(O)C(CC2=CC=CC=C2)NC(=O)C3=CC=C(C=C3)[N+]([O-])=O,-3.98
CCCCC(CC)C(=O)O[Co]OB(O[Co])O[Co](OC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,-1.825456144
ClCCC(Cl)O[P](=O)(OC(Cl)CCCl)OC(Cl)CCCl,-3.6344
O[S](=O)(=O)CCCNC1CCCCC1,-3.080206763
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-2.0886
CCC(CC)COC(C)=O,-1.3528
COc1ccc(cc1OC(C)=O)[N+]([O-])=O,-2.946604067
CN(C)CCOC(=O)C(C)=C,0.502481549
CC1=C(OCC(O)=S)C=CC(Cl)=C1,-3.16
c1ccccc1,-1.642308875
CNC(=O)NC,0.938636234
O=C1CCCN1,1.07
CC1CC2C3CCC(O)(C(C)=O)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14,-4.1
Cc1ccc(cc1)c2ccc(C)cc2,-6.0177
[H+].[Cl-].CNC,1.565718592
CC13CCC(=O)C=C1CCC4C2CCC(C(=O)CO)C2(CC(O)C34)C=O ,-3.85
CCO[P](=O)(OCC)OC(=C\Cl)/c1ccc(Cl)cc1Cl,-3.4624
CCNc1nc(NC(C)CC)nc(OC)n1,-2.575
CCCc1ccc(O)c(OC)c1,-2.179290593
CC/C=C/CCOC(=O)c1ccccc1O,-4.643981404
O=C(O)CCCCCCC,-2.3
CC(=O)OCC=C,-0.5534
CC[C@]12CC[C@H]3[C@@H](CCC4=C3CC=C(C4)OC)[C@@H]1CC[C@@H]2O,-4.702513826
CN1C(=O)COc2ccccc12,-2.1445
CC(C)(c1ccc(OCCOC(=O)C=C)cc1)c2ccc(OCCOC(=O)C=C)cc2,-5.999481603
C[Si](C)(O)O,1.0354
OCCCCCCCCCCC([O-])=O,-2.7039
CC(=O)C(N=Nc1cc(ccc1Cl)C(=O)Nc2cc(Cl)ccc2C)C(=O)Nc3cc(C)c(NC(=O)C(N=Nc4cc(ccc4Cl)C(=O)Nc5cc(Cl)ccc5C)C(C)=O)cc3C,-7.263233538
COC1=CC=C(CN(CCN(C)C)C2=NC=CC=N2)C=C1,-2.99
Cc1ccc(Sc2ccc(cc2)C(=O)c3ccccc3)cc1,-7.61540826
CCOc1ccc(C=O)cc1OC,-2.1913
CCCCCCCCCCOC1=CC(O)=C(C(CC)=NO)C=C1,-4.06
ICC1CCC(CI)CC1,-5.748197572
O=C(O)C=CC(=O)NC1=CC=CC=C1,-2.72
[Na+].CCC(C)c1cc(cc(n2nc3ccccc3n2)c1O)[S]([O-])(=O)=O,-1.57624495
[Co++].[O-]C([O-])=O,-4.837536592
Cc1ccc2c(ccc(O)c2n1)[N+]([O-])=O,-3.9598
[Na+].[Na+].[Na+].[Na+].[O-][P]([O-])(=O)O[P]([O-])([O-])=O,-0.194271049
CCCCCC,-3.944170335
CC(=O)\C=C\c1ccccc1,-2.050971343
CCCCCCC=O,-1.750124429
OC(=O)C(O)=O,0.07901721
OCCCOC(=O)C=C,0.885579186
CC(=O)CC1CCCCN1,-0.4509
[Ba++].[O-]C=O.[O-]C=O,-0.0557
CC(C)(O)C#N,1.07
CC12CCC(C(=NO)C1=NO)C2(C)C,-2.52
Oc1ccc(Br)cc1Br,-2.1225
CCCCCC1CCCC1,-6.0863
CNC(=O)N(C)C1=NN=C(S1)C(C)(C)CCl,-2.47
CCOC(=O)C(Cl)C(C)=O,-0.985949247
O=C(OCc1ccccc1)/C=C/c2ccccc2,-4.820796026
CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,-4.4112
CC1CCC2C(C1)C(=O)OC2=O,-1.301526049
CN(C(=O)CNC(=O)CN)C1=C(C(=O)C2=C(Cl)C=CC=C2)C=C(Cl)C=C1,-2.33
Nc1ccc2cc(cc(O)c2c1)[S](O)(=O)=O,-2.883311239
C[C@@H]1NC(=O)[C@@H](C)NC1=O,-0.1528
CC(C)C=O,-0.079826177
O=C(OCC1CO1)c2ccc(C(=O)OCC3CO3)c(c2)C(=O)OCC4CO4,-2.762296476
CCNc1nc(Cl)nc(NCC(=O)OCC)n1,-2.9374
ClC1=C(Cl)C2(Cl)C3C(C(=O)OC3=O)C1(Cl)C2(Cl)Cl,-5.171234853
COc1cc(\C=C\C)ccc1OCC([O-])=O,-1.5826
CN(C(N)=O)c1ccc(C)cc1,-0.423
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(=O)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,-5.2594
CC#CC1=NC(=NC(=C1)C)NC2=CC=CC=C2,-4.6
C=CC(=O)OCCCOCC(COCCCOC(=O)C=C)OCCCOC(=O)C=C,-2.552747282
O=C(COC(=O)c1ccccc1)N2CCCCC2,-2.5011
Nc1cccc(Cl)c1,-1.373368413
CC1(C)SC2C(NC(=O)C3(N)CCCCC3)C(=O)N2C1C(O)=O,-1.04
O=C1NC=NC2=C1C=N[N]2COC(=O)C3=CC=CC=C3,-4.05
CC(O)c1ccccc1,-1.7969
[Ca++].CC(=O)C(N=Nc1ccc(cc1[N+]([O-])=O)[S]([O-])(=O)=O)C(=O)Nc2ccccc2Cl,-5.451460763
[H+].[Cl-].Cc1ncc(CO)c(C=O)c1O,0.3901
CCOC(=O)c1nn(c2ccc(OC)cc2)c3C(=O)N(CCc13)c4ccc(cc4)N5CCCCC5=O,-4.628205844
CCCCCCCCCCCCCCCCCCCN,-5.85712424
C.[V],-6.205841507
COc1ccc(CCC#N)cc1OC,-1.901344783
C1C(=O)C=C2CCC3C4CCC(C(=O)CO)C4(C5O)CC(O5)C3C2(C)C1,-3.85
CCN(CC)C(=O)\C(=C/C1=CC(=C(O)C(=C1)[N+]([O-])=O)OC(=O)NC(C)(C)C)C#N,-3.53
C[P](O)(O)=O,-0.6813
Nc1ccccc1O,-0.7369
N[C@@H](Cc1cc(Cl)c(O)c(Cl)c1)C(O)=O,-0.796
CCC1(C(=O)NC(=S)NC1=O)C2=CC=CC=C2,-3.58
Oc1c(Cl)cc(Cl)cc1Sc2cc(Cl)cc(Cl)c2O,-4.9495
CC1(C)CC2(CC(C)(C)N1)OC3(CCCCCCCCCCC3)NC2=O,-5.084664439
OCc1ccccc1CO,0.0569
CC\C=C/CC1=C(C)CCC1=O,-2.045238375
CN1CCC23C4=C5C=CC(OCC6=CC=CC=C6)=C4OC2C(O)C=CC3C1C5,-2.22
O=Cc1occc1,-0.0962
OC(=O)COC1=CC2=C(C=CC=C2)C=C1,-3.36
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1O,-4.02
N.N.OC(O)=O,-0.982660114
CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-4.6301
COc1cc(cc(Cl)n1)C(Cl)(Cl)Cl,-4.3635
OC(=O)CSC(SCC(O)=O)SCC(O)=O,-1.4243
CCO[P](=S)(OCC)OC1=NN(C(=O)C=C1)c2ccccc2,-3.5319
CCO[Si](OCC)(OCC)OCC,-2.145565545
Nc1ccc(Cl)cc1C(F)(F)F,-2.293481376
OC(=O)c1cc2ccccc2cc1O,-3.417245584
COCCc1ccc(OCC(O)CNC(C)C)cc1,-1.1992
CC34CCC1C(CCC2=CC(=O)CCC12O)C3CCC4(O)C#C,-4.57
[Na+].COc1cc(O)c(cc1[S]([O-])(=O)=O)C(=O)c2ccccc2,-0.022384851
CC(=O)C(N=Nc1ccc(cc1Cl)c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3)c(Cl)c2)C(=O)Nc4ccccc4,-9.196938503
CCCCCCOC(=O)C(C)=C,-3.755421034
CCCCCCCC(=O)OCC(O)CO,0.179474131
N[C@@H]([C@@H](O)C(O)=O)C(O)=O,-0.8271
CC(C)COC(=O)c1cc(N)c(Cl)c(N)c1,-2.738284824
COC1CC1,-0.1176
CCCCOCCOCCO,0.7899
COCC(=O)N(N1CCOC1=O)c2c(C)cccc2C,-1.913
OC(=O)c1cc(ccc1O)[N+]([O-])=O,-2.262733408
CCCCCOC(=O)CCC,-2.467
COc1ccc(O)c(c1)C(C)(C)C,-2.927488442
[Na+].CCCCCCCC1N(CCO)C=CN1CCC([O-])=O,0.212706758
ClCCCl,-1.08
CN1CCC23C4OC5=C(O)C=CC(=C25)CC1C3C=CC4O,-3.15
C1C(=O)C=C2C(C)=CC3C4CCC(C(=O)C)(OC(=O)C)C4(C)CCC3C2(C)C1,-5.35
CCCCCCCCCCCCCCCCCCSSCCCCCCCCCCCCCCCCCC,-6.057758886
Cc1cc(O)ccc1O,-0.207417517
CC(=O)c1cccc(c1)C(F)(F)F,-2.482107917
CC(C)(C)C(O)C(CC1=CC=C(Cl)C=C1)[N]2C=NC=N2,-4.05
CCC(Cl)(Cl)[N+]([O-])=O,-1.4996
CCCN(=O)=O,-0.8
S=C(NNC1=CC=CC=C1)N=NC2=CC=CC=C2,-6.61
CC(OC1=CC=C(OC2=C(Cl)C=C(Cl)C=C2)C=C1)C(O)=O,-5.04
[Li+].[Na+].[Na+].[O-][S](=O)(=O)c1cc(NC(=O)c2ccccc2)c3C(=O)C(=N/Nc4ccc5c(CNc6nc(F)nc(F)c6Cl)cccc5c4[S]([O-])(=O)=O)/C(=Cc3c1)[S]([O-])(=O)=O,-0.890086508
O=C1N(SC2CCCCC2)C(=O)c3ccccc13,-4.323794172
CCCCC1(CCCC)C(=O)NC(=O)NC1=O,-2.8756
CC(C)(C)NCC1=CC=C(S(=O)(=O)C2=CSC(S(N)(=O)=O)=C2)C=C1,-1.98
COc1ccc(cc1)C(CN(C)C)C2(O)CCCCC2,0.256718745
ON=C1CCCCCCCCC1=NO,-2.5813
OC(=O)CC1(CC(O)=O)OCOC1=O,-0.611
C([C@H](c1ccccn1)c1ccc(cc1)Cl)CN(C)C,-2.67
Cc1ccc(C)c(C)n1,-0.5893
C[C@@H]1CC[C@@]2(OC1)O[C@H]3C[C@H]4[C@@H]5CC=C6C[C@@H](O)CC[C@]6(C)[C@H]5CC[C@]4(C)[C@H]3[C@@H]2C,-7.3166
O=C1CCCCC1C2=CCCCC2,-2.774
N[S](=O)(=O)c1ccc(cc1)[S](N)(=O)=O,-2.5283
[O-][N+](=O)c1ccc(O[P](=S)(Oc2ccc(cc2)[N+]([O-])=O)Oc3ccc(cc3)[N+]([O-])=O)cc1,-5.678834198
CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3,-5.029134765
CCCCCCCCCC(=O)OCC,-4.1006
Oc1ccc2ncccc2c1,-2.1618
CC(C)(C)c1cc(CO)cc(c1O)C(C)(C)C,-4.012782104
CC(C)NCC1CCC2=C(N1)C=C(C(=C2)CO)[N+]([O-])=O,-2.97
[Cl-].C[N+](C)(C)CCCl,0.799
FCCCl,-0.5291
CCCC(=O)[N]1N=CC2=C1N=CNC2=O,-3.27
COC1=C(CC(C)NC(C)CC2=C(OC)C=CC=C2)C=CC=C1,-2.0
CC(C)(C)c1cc(CCC(=O)OCCCCCCOC(=O)CCc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C,-8.106483276
Clc1cccc2ccccc12,-3.9706
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,-0.018923033
[Cl-].CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,-0.953121785
COCOC1=C2OC3C(O)CCC4C5CC(=C2C43CCN5C)C=C1,-1.96
CCC(=O)C(C)CC=C(C)C,-2.701095244
Cc1[nH]nc(C)c1,-0.520474498
C1CCC(C(CC1)O[N+](=O)[O-])O[N+](=O)[O-],-3.02
[nH]1cccn1,1.28788965
C[N]1C=NC2=C1C(=O)N(C)C(=O)N2C,-0.91
[Na+].[O-]C#N,0.17111691
[Cd++].[O-]C([O-])=O,-2.179682789
C1CN=C(CN(CC2=CC=CC=C2)C3=CC=CC=C3)N1,-2.6
Cc1cnc2c(ccc3c(C)c(C)cnc23)c1C,-5.1939
Cc1ccc(cc1)[S](=O)(=O)NC(=O)NC2CCCCC2,-4.207
Cc1cc2NC(=O)Nc2cc1N,-1.977138482
[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-][W]([O-])(=O)=O.[O-][W]([O-])(=O)=O.[O-][W]([O-])(=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O,-0.472461116
[Na+].[O-]C(=O)CCl,0.848624184
CC(O)C(C)(C)C,-0.6238
Cc1oc(cc1C([O-])=O)[C@H](O)[C@H](O)[C@H](O)CO,-1.2774
O.O.O.O.O.O.O.O.O.[Al+3].[Al+3].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O,-7.498558651
CC(C)O[P](F)(=O)OC(C)C,-1.0777
CN(C(=S)SSC(=S)N(C)c1ccccc1)c2ccccc2,-6.260769992
CCOC(=O)c1[nH]c(C=O)c(CC)c1C,-2.7186
OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O,-1.259
OC(=O)CC1NC(=O)NC1=O,-1.1517
CC1=CC=C(C2=C(CC(=O)N(C)C)N3C=C(C)C=CC3=N2)C=C1,-1.3
C\C=C/C,-1.9302
Cc1c2ccccc2cc3ccc4ccccc4c13,-6.5648
CCCC(=O)OCSC1=NC=NC2=C1N=C[N]2COC(=O)CCC,-3.71
CCn1nc2cc(cc3C(=O)c4ccccc4c1c23)c5cc6nn(CC)c7c8ccccc8C(=O)c(c5)c67,-4.393183723
C1c2cccc3ccc4cccc1c4c23,-5.2379
CC1N(C)CN2C(=O)C3=C(C=CC=C3)N=C12,0.03
CC(C)C[C@H](N)C(=O)N[C@@H](CCC(O)=O)C(O)=O,-0.8969
ClC/C=C/CCl,-2.1675
[Se],-6.575187845
CNCC(O)=O,0.5273
ClC(Br)Br,-1.9
CCC(C)(N=NC(C)(CC)C#N)C#N,-2.696191526
[K+].[K+].[Zn++].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O,0.237458201
CCCCOC(=O)CCO,-1.2899
OC(=O)CC1=CC=C(C=C1)C2=CC=CC=C2,-3.73
OC(=O)C(Br)Br,0.9861
[Na+].[Na+].OCCNc1nc(NCCO)nc(Nc2ccc3C(=O)C(=N/Nc4ccc(cc4)N=Nc5ccc(cc5)[S]([O-])(=O)=O)\C(=Cc3c2)[S]([O-])(=O)=O)n1,-0.28369802
CCOC1=CC=C(N[S](=O)(=O)C2=CC=C(C=C2)[N+]([O-])=O)C=C1,-4.72
O=C(O)C=Cc(cccc1)c1,-2.48
CO[S]([O-])(=O)=O.C[n+]1ccn(C=C)c1,0.657084083
COc1cc(OC)n2nc(nc2n1)[S](=O)(=O)Nc3c(Cl)ccc(C)c3Cl,-3.3204
CCOC(=O)N1C=C(F)C(=O)NC1=O,-1.47
[Na+].CC(C)CO[P]([S-])(=S)OCC(C)C,0.57785683
CCCC(=O)N(C)C1=CC=C(C=C1)[S](=O)(=O)N(C)C,-2.16
Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,-4.286890723
Clc1ccc(Cl)c(c1Cl)c2ccccc2Cl,-6.3001
COc1ccc(\C=C\C)cc1,-3.125539877
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.176
Clc1cc(Cl)c(cc1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-9.5
O=C(O)CN1CCCCS1(=O)=O,-0.59
CCC(C)C1=C(OC(C)=O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,-2.25
[Na+].[Cl-].[O-]C(=O)c1ccc[n+](Cc2ccccc2)c1,0.519220267
OC(CC(O)=O)C(O)=O,0.64
NC(=O)C[C@H](NC(N)=O)C(O)=O,-0.511
[Zn++].[Br-].[Br-],1.297742994
CNC(=O)N1C=C(F)C(=O)NC1=O,-2.28
NCCNC1=CC=C(S(=O)(=O)C2=CC=C(N)C=C2)C=C1,-2.35
CCCCSc1cc(O)cc(O)c1,-2.5191
[F-].[F-].[F-].[La+3],-5.535398328
C[Si](Cn1cncn1)(c2ccc(F)cc2)c3ccc(F)cc3,-3.7665
